Date,APPL,ADBE,AMZN,CSCO,CRM,GOOGL,IBM,INTC,MSFT,NFLX,NVDA,NVDA,ORCL
2004-08-20,0.55,23.05,1.98,18.88,3.15,2.71,81.5,21.62,27.2,2.26,1.03,1.03,10.31
2004-08-23,0.56,22.82,1.97,19.18,3.13,2.74,80.93,21.89,27.24,2.27,1.05,1.05,10.3
2004-08-24,0.57,22.87,1.95,18.97,3.19,2.62,80.98,21.67,27.24,2.21,1.01,1.01,10.33
2004-08-25,0.59,23.12,2.02,19.32,3.24,2.65,81.33,21.95,27.55,2.24,1.06,1.06,10.4
2004-08-26,0.62,23.08,2.01,19.17,3.23,2.7,80.97,21.77,27.44,2.18,1.06,1.06,10.23
2004-08-27,0.61,23.21,2,19.47,3.29,2.66,81.2,22.02,27.46,2.16,1.08,1.08,10.29
2004-08-30,0.61,22.78,1.92,19.03,3.29,2.55,80.69,21.6,27.3,2.06,1.04,1.04,10.11
2004-08-31,0.62,22.93,1.91,18.76,3.25,2.56,80.97,21.29,27.3,1.99,1.04,1.04,9.97
2004-09-01,0.64,22.91,1.91,19.09,3.33,2.51,80.52,21.43,27.39,2.04,1.06,1.06,10.05
2004-09-02,0.64,23.42,1.96,19.3,3.47,2.54,80.85,21.63,27.62,2.12,1.1,1.1,10.29
2004-09-03,0.63,23.26,1.94,18.75,3.44,2.5,80.68,20.05,27.11,2.05,1.07,1.07,10.03
2004-09-07,0.64,23.62,1.93,19.05,3.36,2.54,81.23,19.89,27.36,2.2,1.05,1.05,10.08
2004-09-08,0.65,23.92,1.9,19.31,3.31,2.56,82.08,19.72,27.26,2.15,1.03,1.03,9.86
2004-09-09,0.64,24.48,1.9,19.93,3.29,2.56,82.64,20.17,27.28,2.15,1.13,1.13,9.93
2004-09-10,0.64,24.93,1.93,20.46,3.56,2.64,82.94,20.57,27.49,2.13,1.17,1.17,10.46
2004-09-13,0.64,24.86,2,20.25,3.8,2.69,82.69,20.8,27.25,2.26,1.2,1.2,10.62
2004-09-14,0.63,24.78,2.13,20.35,3.98,2.79,82.91,20.77,27.44,2.33,1.2,1.2,10.55
2004-09-15,0.63,23.72,2.11,19.56,4.09,2.8,82.57,20.42,27.19,2.27,1.13,1.13,11.33
2004-09-16,0.65,23.95,2.13,19.59,4.07,2.85,82.33,20.11,27.26,2.44,1.18,1.18,11.23
2004-09-17,0.66,24.07,2.15,19.16,3.92,2.94,81.97,20.59,27.51,2.43,1.22,1.22,11.51
2004-09-20,0.67,23.98,2.16,19.3,4,2.99,81.93,20.92,27.51,2.54,1.22,1.22,11.4
2004-09-21,0.68,25.23,2.16,19.65,4.09,2.95,81.95,21.08,27.26,2.5,1.26,1.26,11.41
2004-09-22,0.66,24.42,2.07,18.96,4.02,2.96,80.6,20.42,27.12,2.41,1.2,1.2,11.14
